+------------------------------+-------------+
|        Fold_2_feature        | Fold_2_coef |
+------------------------------+-------------+
|    realized_vol_20_log1p     |    1.0123   |
|      trade_count_log1p       |    0.8352   |
|   lob_asks_volume_1_log1p    |   -0.8131   |
|     realized_vol_5_log1p     |    0.5323   |
|  total_bid_volume_10_log1p   |   -0.4868   |
|      trade_count_change      |    0.4391   |
|      imbalance_depth_1       |   -0.4282   |
|         imbalance_1          |   -0.4282   |
|         vol_5_log1p          |   -0.3966   |
| max_bid_ask_vol_ratio_log1p  |    0.3581   |
|   total_book_volume_log1p    |    0.3335   |
|   total_trade_volume_log1p   |    0.3264   |
|         imbalance_10         |    0.3209   |
|     avg_trade_size_log1p     |   -0.3003   |
|      lob_depth_ratio_6       |   -0.2374   |
|       rel_spread_log1p       |    0.2313   |
|       sell_count_log1p       |   -0.2061   |
|         imbalance_5          |    0.1978   |
|      imbalance_depth_5       |   -0.1855   |
|   lob_bids_volume_1_log1p    |    -0.18    |
|       buy_count_log1p        |   -0.1682   |
|      lob_depth_ratio_5       |    0.1532   |
|       buy_volume_log1p       |   -0.1521   |
|      lob_depth_ratio_2       |   -0.1513   |
|    max_over_average_log1p    |   -0.1442   |
|   lob_bids_volume_3_log1p    |    0.1434   |
|     trade_volume_change      |   -0.1391   |
|      sell_volume_log1p       |   -0.1374   |
|     max_trade_size_log1p     |    0.1227   |
|   lob_asks_volume_2_log1p    |   -0.1192   |
|   lob_bids_volume_6_log1p    |    0.1188   |
|   lob_asks_volume_8_log1p    |   -0.1186   |
|      imbalance_depth_6       |    0.1104   |
|      lob_depth_ratio_4       |    0.1038   |
|      lob_depth_ratio_3       |   -0.0951   |
|      lob_depth_ratio_10      |    0.0907   |
|      imbalance_depth_4       |    -0.088   |
|   lob_asks_volume_6_log1p    |   -0.0873   |
|    trade_volume_imbalance    |   -0.0841   |
|   lob_bids_volume_2_log1p    |    0.0674   |
|     mid_price_change_20      |   -0.0672   |
|         log_return_2         |   -0.0641   |
|     min_trade_size_log1p     |   -0.0572   |
|      microprice_change       |    0.0569   |
|      lob_depth_ratio_7       |    0.0557   |
|   lob_bids_volume_9_log1p    |   -0.0549   |
|      imbalance_depth_7       |    -0.053   |
|   lob_bids_volume_8_log1p    |    0.0478   |
| lag_trade_volume_imbalance_1 |   -0.0478   |
|      imbalance_depth_3       |    0.0472   |
|      imbalance_depth_9       |   -0.0471   |
|   lob_bids_volume_5_log1p    |   -0.0441   |
|    trade_count_imbalance     |   -0.0438   |
|      imbalance_depth_2       |    0.0433   |
| lag_trade_volume_imbalance_2 |   -0.0428   |
|     std_trade_size_log1p     |    -0.039   |
|   lob_bids_volume_4_log1p    |    0.0356   |
|      mid_price_change_5      |    0.0324   |
|           return_5           |    0.0319   |
|       liquidity_log1p        |    0.0299   |
|        log_return_20         |   -0.0296   |
|   momentum_20_log_return_1   |   -0.0296   |
|   lob_asks_volume_4_log1p    |   -0.0266   |
|      mid_price_change_1      |    0.0262   |
| lag_trade_volume_imbalance_3 |   -0.0259   |
|         log_return_5         |    0.023    |
|   momentum_5_log_return_1    |    0.023    |
|      imbalance_depth_10      |   -0.0216   |
| lag_trade_volume_imbalance_5 |    0.0191   |
|   lob_bids_volume_7_log1p    |    0.0182   |
|   lob_asks_volume_3_log1p    |    0.0176   |
|      lob_depth_ratio_9       |    0.0165   |
|         log_return_3         |   -0.0162   |
|   lob_asks_volume_10_log1p   |    0.0148   |
|   lob_asks_volume_7_log1p    |    -0.013   |
|   lob_asks_volume_5_log1p    |    0.0079   |
|         spread_log1p         |   -0.0071   |
|   lob_asks_volume_9_log1p    |    0.0059   |
|      lob_depth_ratio_8       |   -0.0037   |
|      imbalance_depth_8       |    0.0012   |
|          microprice          |     0.0     |
|           return_1           |     0.0     |
|         log_return_1         |     0.0     |
|    microprice_weighted_10    |     0.0     |
|   lob_bids_volume_10_log1p   |     0.0     |
|  total_ask_volume_10_log1p   |     0.0     |
|    mid_minus_micro_log1p     |     0.0     |
|         vol_20_log1p         |     0.0     |
+------------------------------+-------------+
