+------------------------------+-------------+
|        Fold_6_feature        | Fold_6_coef |
+------------------------------+-------------+
|   lob_asks_volume_1_log1p    |   -0.7791   |
|    realized_vol_20_log1p     |    0.6849   |
|   lob_bids_volume_1_log1p    |   -0.6649   |
|         vol_20_log1p         |   -0.4258   |
|   total_book_volume_log1p    |    0.391    |
|  total_bid_volume_10_log1p   |   -0.3838   |
|   total_trade_volume_log1p   |    0.3361   |
| max_bid_ask_vol_ratio_log1p  |    0.271    |
|       buy_count_log1p        |    0.2635   |
|       rel_spread_log1p       |    0.2279   |
|      lob_depth_ratio_7       |   -0.2238   |
|      trade_count_change      |    0.2106   |
|    trade_count_imbalance     |   -0.1974   |
|       buy_volume_log1p       |   -0.1861   |
|      trade_count_log1p       |    -0.186   |
|      imbalance_depth_7       |    0.1758   |
|       liquidity_log1p        |    0.1715   |
|    trade_volume_imbalance    |    0.1684   |
|         imbalance_10         |    0.1633   |
|     std_trade_size_log1p     |   -0.1577   |
|      lob_depth_ratio_2       |    0.1532   |
|         log_return_3         |   -0.1335   |
|   lob_bids_volume_3_log1p    |    0.1241   |
|     max_trade_size_log1p     |    0.1223   |
|      sell_volume_log1p       |   -0.1107   |
|      lob_depth_ratio_4       |   -0.1079   |
|      imbalance_depth_8       |   -0.1002   |
|   lob_asks_volume_9_log1p    |   -0.0977   |
|      imbalance_depth_10      |    0.0871   |
|   lob_bids_volume_9_log1p    |    0.0852   |
|      lob_depth_ratio_10      |   -0.0833   |
|      lob_depth_ratio_6       |   -0.0833   |
|   lob_asks_volume_7_log1p    |   -0.0813   |
|      imbalance_depth_2       |   -0.0809   |
|         imbalance_1          |   -0.0781   |
|      imbalance_depth_1       |   -0.0781   |
|      mid_price_change_1      |   -0.0775   |
|      lob_depth_ratio_3       |   -0.0744   |
|   lob_asks_volume_3_log1p    |   -0.0743   |
|   lob_asks_volume_6_log1p    |   -0.0724   |
|         log_return_2         |    0.0666   |
|      lob_depth_ratio_9       |   -0.0656   |
|     min_trade_size_log1p     |   -0.0587   |
|     mid_price_change_20      |    0.0544   |
|         vol_5_log1p          |    0.0543   |
|   lob_asks_volume_2_log1p    |    0.0538   |
|      lob_depth_ratio_8       |    0.0521   |
|      lob_depth_ratio_5       |    0.0501   |
|   lob_asks_volume_10_log1p   |   -0.0483   |
|    max_over_average_log1p    |   -0.0478   |
|      imbalance_depth_3       |    0.0456   |
|   lob_bids_volume_7_log1p    |    0.0453   |
|   lob_asks_volume_4_log1p    |   -0.0451   |
| lag_trade_volume_imbalance_5 |   -0.0432   |
| lag_trade_volume_imbalance_2 |    0.0424   |
|      imbalance_depth_4       |    0.0412   |
| lag_trade_volume_imbalance_3 |    0.0406   |
|     avg_trade_size_log1p     |    -0.038   |
|      microprice_change       |    0.0379   |
|      mid_price_change_5      |   -0.0372   |
|       sell_count_log1p       |    0.0362   |
|        log_return_20         |   -0.0331   |
|   momentum_20_log_return_1   |   -0.0331   |
|      imbalance_depth_9       |    0.0313   |
|   lob_bids_volume_6_log1p    |    0.0305   |
|   lob_bids_volume_5_log1p    |   -0.0296   |
|   momentum_5_log_return_1    |    0.0278   |
|         log_return_5         |    0.0278   |
|   lob_bids_volume_4_log1p    |    0.0278   |
|   lob_bids_volume_8_log1p    |   -0.0271   |
|           return_5           |    0.0265   |
|         spread_log1p         |   -0.0238   |
|     realized_vol_5_log1p     |    0.0209   |
|   lob_asks_volume_5_log1p    |   -0.0208   |
| lag_trade_volume_imbalance_1 |    0.0199   |
|   lob_bids_volume_2_log1p    |   -0.0183   |
|         imbalance_5          |    0.0173   |
|      imbalance_depth_6       |    0.014    |
|      imbalance_depth_5       |   -0.0133   |
|   lob_asks_volume_8_log1p    |   -0.0024   |
|     trade_volume_change      |    0.0009   |
|   lob_bids_volume_10_log1p   |    0.0006   |
|          microprice          |     0.0     |
|    microprice_weighted_10    |     0.0     |
|         log_return_1         |     0.0     |
|           return_1           |     0.0     |
|  total_ask_volume_10_log1p   |     0.0     |
|    mid_minus_micro_log1p     |     0.0     |
+------------------------------+-------------+
