+------------------------------+-------------+
|        Fold_9_feature        | Fold_9_coef |
+------------------------------+-------------+
|  total_bid_volume_10_log1p   |   -1.0063   |
|         imbalance_10         |    0.5646   |
| max_bid_ask_vol_ratio_log1p  |    0.5335   |
|   lob_asks_volume_1_log1p    |   -0.4161   |
|   total_book_volume_log1p    |    0.3368   |
|    mid_minus_micro_log1p     |    0.3304   |
|       buy_count_log1p        |   -0.2842   |
|      trade_count_log1p       |    0.2806   |
|   total_trade_volume_log1p   |    0.2235   |
|         vol_5_log1p          |   -0.2213   |
|     realized_vol_5_log1p     |    0.2207   |
|      lob_depth_ratio_4       |   -0.1969   |
|      imbalance_depth_3       |   -0.1838   |
|     trade_volume_change      |   -0.1828   |
|      mid_price_change_1      |   -0.1693   |
|   lob_bids_volume_8_log1p    |    0.1604   |
|   lob_asks_volume_2_log1p    |    0.1391   |
|      lob_depth_ratio_3       |    0.1375   |
|  total_ask_volume_10_log1p   |    0.1332   |
|   lob_bids_volume_4_log1p    |    0.1268   |
|    trade_volume_imbalance    |    0.125    |
|      lob_depth_ratio_2       |    0.1239   |
|    max_over_average_log1p    |    0.1225   |
|   lob_bids_volume_6_log1p    |    0.1023   |
|      imbalance_depth_5       |    0.0989   |
|    realized_vol_20_log1p     |    0.0946   |
|      imbalance_depth_4       |    0.0844   |
|      imbalance_depth_2       |   -0.0838   |
|      lob_depth_ratio_7       |    0.0833   |
|      imbalance_depth_9       |    0.0824   |
|     mid_price_change_20      |    0.0749   |
|         log_return_3         |    0.074    |
| lag_trade_volume_imbalance_3 |   -0.0737   |
|     std_trade_size_log1p     |    -0.069   |
|   lob_bids_volume_9_log1p    |    0.0689   |
| lag_trade_volume_imbalance_1 |    0.0653   |
|   lob_asks_volume_4_log1p    |   -0.0622   |
|         log_return_2         |    0.0614   |
| lag_trade_volume_imbalance_5 |   -0.0611   |
| lag_trade_volume_imbalance_2 |   -0.0589   |
|   lob_bids_volume_7_log1p    |   -0.0576   |
|   lob_asks_volume_5_log1p    |    0.0543   |
|      imbalance_depth_7       |   -0.0483   |
|      imbalance_depth_10      |   -0.0466   |
|     avg_trade_size_log1p     |   -0.0401   |
|      imbalance_depth_6       |    0.0393   |
|      trade_count_change      |    0.039    |
|   lob_bids_volume_5_log1p    |    0.038    |
|       liquidity_log1p        |    0.0365   |
|   lob_bids_volume_10_log1p   |    0.031    |
|         log_return_1         |    0.0307   |
|      sell_volume_log1p       |   -0.0286   |
|           return_1           |    0.0265   |
|   lob_asks_volume_7_log1p    |   -0.0263   |
|   lob_bids_volume_3_log1p    |    0.0258   |
|   lob_asks_volume_3_log1p    |    0.025    |
|     max_trade_size_log1p     |    0.025    |
|   lob_bids_volume_2_log1p    |   -0.0247   |
|   lob_asks_volume_10_log1p   |    0.023    |
|   lob_asks_volume_9_log1p    |    0.0209   |
|      lob_depth_ratio_6       |   -0.0207   |
|      lob_depth_ratio_8       |    0.0193   |
|      lob_depth_ratio_5       |    0.0186   |
|   lob_asks_volume_8_log1p    |   -0.0161   |
|     min_trade_size_log1p     |   -0.0157   |
|      mid_price_change_5      |    0.0154   |
|         spread_log1p         |   -0.0146   |
|        log_return_20         |   -0.0055   |
|   momentum_20_log_return_1   |   -0.0055   |
|    trade_count_imbalance     |   -0.0044   |
|       rel_spread_log1p       |    0.004    |
|           return_5           |    0.0025   |
|   momentum_5_log_return_1    |    0.0004   |
|         log_return_5         |    0.0004   |
|    microprice_weighted_10    |   -0.0003   |
|      imbalance_depth_1       |     0.0     |
|         imbalance_5          |     0.0     |
|         imbalance_1          |     0.0     |
|      lob_depth_ratio_10      |     0.0     |
|      lob_depth_ratio_9       |     0.0     |
|      microprice_change       |     0.0     |
|          microprice          |     0.0     |
|      imbalance_depth_8       |     0.0     |
|   lob_bids_volume_1_log1p    |     0.0     |
|   lob_asks_volume_6_log1p    |     0.0     |
|         vol_20_log1p         |     0.0     |
|       sell_count_log1p       |     0.0     |
|       buy_volume_log1p       |     0.0     |
+------------------------------+-------------+
