+------------------------------+-------------+
|        Fold_3_feature        | Fold_3_coef |
+------------------------------+-------------+
|    realized_vol_20_log1p     |    1.0814   |
|     max_trade_size_log1p     |    0.9969   |
|     std_trade_size_log1p     |    -0.833   |
|   lob_asks_volume_1_log1p    |   -0.7242   |
|   lob_bids_volume_1_log1p    |   -0.6286   |
|         vol_20_log1p         |   -0.5094   |
|       liquidity_log1p        |    0.4433   |
|   total_trade_volume_log1p   |    0.3319   |
|  total_bid_volume_10_log1p   |   -0.3068   |
|       buy_volume_log1p       |   -0.2725   |
| max_bid_ask_vol_ratio_log1p  |    0.1727   |
|      imbalance_depth_8       |    0.145    |
|      lob_depth_ratio_5       |   -0.1378   |
|      lob_depth_ratio_8       |   -0.1343   |
|       buy_count_log1p        |    0.1295   |
|   lob_bids_volume_6_log1p    |    0.1229   |
|   lob_bids_volume_3_log1p    |    0.1085   |
|      sell_volume_log1p       |   -0.1084   |
|      trade_count_change      |    0.1015   |
|      imbalance_depth_5       |    0.1011   |
|   lob_asks_volume_4_log1p    |    0.0978   |
|      imbalance_depth_4       |   -0.0907   |
|   lob_asks_volume_9_log1p    |    0.0905   |
|      lob_depth_ratio_9       |    0.0857   |
|      imbalance_depth_6       |   -0.0773   |
|   lob_bids_volume_5_log1p    |    0.0642   |
|      lob_depth_ratio_7       |   -0.0618   |
| lag_trade_volume_imbalance_5 |    0.0612   |
|      lob_depth_ratio_4       |    0.0569   |
|   lob_asks_volume_2_log1p    |    0.0567   |
|   lob_bids_volume_2_log1p    |    0.0528   |
|      mid_price_change_1      |    0.0513   |
|   lob_asks_volume_5_log1p    |    -0.049   |
|         spread_log1p         |   -0.0487   |
|     min_trade_size_log1p     |   -0.0456   |
|   lob_asks_volume_8_log1p    |   -0.0448   |
|    microprice_weighted_10    |    0.0428   |
|   lob_asks_volume_3_log1p    |   -0.0414   |
| lag_trade_volume_imbalance_1 |    0.0402   |
|      imbalance_depth_2       |    0.0398   |
|   lob_asks_volume_6_log1p    |    0.0392   |
| lag_trade_volume_imbalance_3 |   -0.0382   |
|   lob_bids_volume_10_log1p   |    0.0371   |
|   lob_bids_volume_4_log1p    |   -0.0371   |
|   lob_asks_volume_7_log1p    |   -0.0344   |
|    trade_volume_imbalance    |    0.0323   |
|         log_return_2         |    -0.032   |
|     avg_trade_size_log1p     |   -0.0269   |
|   lob_bids_volume_7_log1p    |    0.0258   |
|      imbalance_depth_7       |    0.0243   |
|      microprice_change       |   -0.0239   |
|       sell_count_log1p       |   -0.0228   |
|     realized_vol_5_log1p     |    0.0226   |
|   momentum_5_log_return_1    |    0.0219   |
|         log_return_5         |    0.0219   |
|      imbalance_depth_3       |    0.0218   |
|           return_5           |    0.0212   |
| lag_trade_volume_imbalance_2 |    0.0183   |
|         imbalance_1          |   -0.0181   |
|      imbalance_depth_1       |   -0.0181   |
|  total_ask_volume_10_log1p   |   -0.0169   |
|      lob_depth_ratio_6       |    0.0158   |
|      mid_price_change_5      |   -0.0145   |
|      imbalance_depth_9       |   -0.0141   |
|   lob_asks_volume_10_log1p   |   -0.0133   |
|      lob_depth_ratio_2       |   -0.0123   |
|         log_return_3         |    0.0111   |
|     mid_price_change_20      |    0.0103   |
|    max_over_average_log1p    |    -0.01    |
|       rel_spread_log1p       |    0.0063   |
|      lob_depth_ratio_10      |    0.0062   |
|      imbalance_depth_10      |    0.0031   |
|   lob_bids_volume_8_log1p    |    0.0022   |
|   lob_bids_volume_9_log1p    |    0.002    |
|         vol_5_log1p          |    0.0013   |
|   momentum_20_log_return_1   |    0.001    |
|        log_return_20         |    0.001    |
|         imbalance_5          |     0.0     |
|         imbalance_10         |     0.0     |
|      lob_depth_ratio_3       |     0.0     |
|          microprice          |     0.0     |
|         log_return_1         |     0.0     |
|           return_1           |     0.0     |
|     trade_volume_change      |     0.0     |
|    trade_count_imbalance     |     0.0     |
|   total_book_volume_log1p    |     0.0     |
|      trade_count_log1p       |     0.0     |
|    mid_minus_micro_log1p     |     0.0     |
+------------------------------+-------------+
