+------------------------------+-------------+
|        Fold_7_feature        | Fold_7_coef |
+------------------------------+-------------+
|      trade_count_log1p       |   -0.7589   |
|   lob_asks_volume_1_log1p    |   -0.6217   |
|         imbalance_5          |   -0.5758   |
|    realized_vol_20_log1p     |    0.5754   |
|   lob_bids_volume_1_log1p    |   -0.5229   |
| max_bid_ask_vol_ratio_log1p  |    0.3772   |
|    max_over_average_log1p    |    0.3107   |
|         imbalance_10         |     0.31    |
|       buy_count_log1p        |    0.3098   |
|         log_return_3         |   -0.2732   |
|       sell_count_log1p       |    0.2697   |
|   total_book_volume_log1p    |    0.2434   |
|         log_return_2         |    0.2107   |
|      lob_depth_ratio_3       |    0.2081   |
|     realized_vol_5_log1p     |    0.2013   |
|      imbalance_depth_3       |   -0.1934   |
|  total_bid_volume_10_log1p   |   -0.1863   |
|      lob_depth_ratio_5       |    0.1729   |
|   total_trade_volume_log1p   |    0.1493   |
|       liquidity_log1p        |    0.1473   |
|      lob_depth_ratio_2       |    0.1218   |
|         vol_5_log1p          |   -0.1179   |
|  total_ask_volume_10_log1p   |    0.1088   |
|   lob_bids_volume_7_log1p    |   -0.1005   |
|         vol_20_log1p         |   -0.0988   |
|      imbalance_depth_2       |   -0.0781   |
|     avg_trade_size_log1p     |   -0.0761   |
|     trade_volume_change      |   -0.0741   |
|   lob_bids_volume_8_log1p    |   -0.0696   |
|      imbalance_depth_5       |   -0.0684   |
|   lob_asks_volume_5_log1p    |    0.0677   |
|     max_trade_size_log1p     |    0.0585   |
|      trade_count_change      |    0.0557   |
|   lob_asks_volume_2_log1p    |    0.0518   |
|   lob_bids_volume_10_log1p   |   -0.0489   |
|   lob_asks_volume_10_log1p   |   -0.0433   |
| lag_trade_volume_imbalance_3 |    0.0432   |
|   lob_asks_volume_6_log1p    |   -0.0425   |
|   lob_bids_volume_6_log1p    |    0.041    |
|     std_trade_size_log1p     |   -0.0409   |
|      lob_depth_ratio_8       |    0.0374   |
|   lob_bids_volume_9_log1p    |    0.0373   |
|   lob_bids_volume_2_log1p    |   -0.0372   |
|           return_5           |    0.0366   |
| lag_trade_volume_imbalance_5 |   -0.0362   |
|         log_return_5         |    0.0361   |
|   momentum_5_log_return_1    |    0.0361   |
|      lob_depth_ratio_4       |    0.0349   |
|   lob_asks_volume_4_log1p    |   -0.0343   |
|    microprice_weighted_10    |    0.0302   |
|   lob_asks_volume_9_log1p    |    0.0301   |
|   lob_bids_volume_3_log1p    |   -0.0297   |
|      lob_depth_ratio_7       |    0.0285   |
|          microprice          |    0.0282   |
|   lob_asks_volume_3_log1p    |    -0.027   |
| lag_trade_volume_imbalance_1 |    0.0267   |
|      mid_price_change_5      |   -0.0239   |
|      lob_depth_ratio_10      |   -0.0203   |
|      imbalance_depth_8       |   -0.0188   |
|   lob_asks_volume_8_log1p    |    0.0186   |
|        log_return_20         |   -0.0165   |
|   momentum_20_log_return_1   |   -0.0165   |
|      imbalance_depth_10      |    0.0156   |
|      imbalance_depth_4       |    0.0154   |
|         spread_log1p         |   -0.0124   |
|     mid_price_change_20      |    0.0114   |
|      imbalance_depth_7       |    -0.01    |
|      sell_volume_log1p       |    0.0098   |
|    trade_count_imbalance     |    0.0098   |
|     min_trade_size_log1p     |   -0.0096   |
|      lob_depth_ratio_6       |   -0.0094   |
| lag_trade_volume_imbalance_2 |    -0.009   |
|      imbalance_depth_6       |   -0.0083   |
|       rel_spread_log1p       |    0.0079   |
|      mid_price_change_1      |   -0.0071   |
|   lob_bids_volume_4_log1p    |    0.0065   |
|      lob_depth_ratio_9       |   -0.0043   |
|   lob_asks_volume_7_log1p    |    0.0035   |
|   lob_bids_volume_5_log1p    |    0.0035   |
|      microprice_change       |   -0.0022   |
|      imbalance_depth_9       |     0.0     |
|      imbalance_depth_1       |     0.0     |
|         imbalance_1          |     0.0     |
|    trade_volume_imbalance    |     0.0     |
|           return_1           |     0.0     |
|         log_return_1         |     0.0     |
|    mid_minus_micro_log1p     |     0.0     |
|       buy_volume_log1p       |     0.0     |
+------------------------------+-------------+
