+------------------------------+-------------+
|        Fold_0_feature        | Fold_0_coef |
+------------------------------+-------------+
|      trade_count_log1p       |    1.6877   |
|     max_trade_size_log1p     |    1.0225   |
|     std_trade_size_log1p     |    -0.918   |
|    max_over_average_log1p    |   -0.8068   |
|  total_ask_volume_10_log1p   |   -0.5881   |
|   lob_bids_volume_1_log1p    |   -0.4845   |
|      lob_depth_ratio_5       |    0.4669   |
| max_bid_ask_vol_ratio_log1p  |    0.4405   |
|      trade_count_change      |    0.3783   |
|      imbalance_depth_5       |   -0.3621   |
|       buy_count_log1p        |   -0.3134   |
|      lob_depth_ratio_3       |   -0.2908   |
|   total_book_volume_log1p    |    0.2896   |
|      lob_depth_ratio_2       |   -0.2873   |
|    realized_vol_20_log1p     |    0.2759   |
|      imbalance_depth_4       |    0.2247   |
|     mid_price_change_20      |    0.2069   |
|      imbalance_depth_10      |     -0.2    |
|     min_trade_size_log1p     |   -0.1851   |
|      imbalance_depth_2       |    0.1746   |
|    trade_count_imbalance     |    0.1606   |
|      lob_depth_ratio_4       |   -0.1553   |
|   lob_asks_volume_2_log1p    |   -0.1409   |
|      mid_price_change_5      |   -0.1214   |
|   lob_bids_volume_3_log1p    |    0.1209   |
|      lob_depth_ratio_10      |    0.1169   |
|     realized_vol_5_log1p     |    0.0952   |
|      imbalance_depth_8       |    -0.093   |
|   lob_asks_volume_5_log1p    |    0.0838   |
|   lob_asks_volume_6_log1p    |    0.081    |
|      microprice_change       |    0.0757   |
|         imbalance_5          |   -0.0713   |
|      sell_volume_log1p       |   -0.0668   |
|   lob_asks_volume_3_log1p    |   -0.0654   |
|     trade_volume_change      |   -0.0612   |
|      imbalance_depth_3       |    0.0584   |
|   lob_bids_volume_8_log1p    |   -0.0578   |
|      lob_depth_ratio_9       |   -0.0557   |
|      lob_depth_ratio_6       |    0.052    |
|   lob_bids_volume_5_log1p    |   -0.0425   |
|   lob_asks_volume_10_log1p   |    0.0422   |
|         log_return_3         |    0.0406   |
|      mid_price_change_1      |   -0.0388   |
|         spread_log1p         |   -0.0381   |
|   lob_bids_volume_2_log1p    |    0.0365   |
|      lob_depth_ratio_8       |    0.0352   |
|   lob_asks_volume_7_log1p    |    0.0351   |
|   lob_bids_volume_4_log1p    |   -0.0345   |
|   lob_bids_volume_7_log1p    |   -0.0325   |
|         vol_5_log1p          |   -0.0323   |
|   lob_asks_volume_8_log1p    |   -0.0317   |
|      imbalance_depth_1       |   -0.0316   |
|         imbalance_1          |   -0.0316   |
|         log_return_1         |    0.0291   |
|      imbalance_depth_9       |    0.0283   |
|      imbalance_depth_7       |    -0.027   |
|           return_1           |    0.0267   |
|   momentum_20_log_return_1   |    0.024    |
|        log_return_20         |    0.024    |
|      lob_depth_ratio_7       |   -0.0227   |
| lag_trade_volume_imbalance_5 |    0.0222   |
|          microprice          |   -0.0187   |
| lag_trade_volume_imbalance_1 |   -0.0184   |
|   lob_bids_volume_10_log1p   |   -0.0164   |
| lag_trade_volume_imbalance_2 |    0.0142   |
|    mid_minus_micro_log1p     |    0.0134   |
|     avg_trade_size_log1p     |    0.0134   |
|   lob_asks_volume_4_log1p    |    -0.008   |
|    trade_volume_imbalance    |    0.008    |
|   lob_asks_volume_9_log1p    |   -0.0044   |
|       buy_volume_log1p       |    0.004    |
|           return_5           |   -0.0033   |
|   lob_bids_volume_9_log1p    |   -0.0017   |
|         log_return_5         |   -0.0001   |
|   momentum_5_log_return_1    |   -0.0001   |
|         imbalance_10         |     0.0     |
|      imbalance_depth_6       |     0.0     |
|         log_return_2         |     0.0     |
| lag_trade_volume_imbalance_3 |     0.0     |
|    microprice_weighted_10    |     0.0     |
|   lob_asks_volume_1_log1p    |     0.0     |
|   lob_bids_volume_6_log1p    |     0.0     |
|       rel_spread_log1p       |     0.0     |
|       liquidity_log1p        |     0.0     |
|  total_bid_volume_10_log1p   |     0.0     |
|         vol_20_log1p         |     0.0     |
|       sell_count_log1p       |     0.0     |
|   total_trade_volume_log1p   |     0.0     |
+------------------------------+-------------+
