+------------------------------+-------------+
|        Fold_5_feature        | Fold_5_coef |
+------------------------------+-------------+
|   lob_bids_volume_1_log1p    |   -0.9055   |
|    realized_vol_20_log1p     |    0.7106   |
|    microprice_weighted_10    |    0.5667   |
|   lob_asks_volume_1_log1p    |   -0.5129   |
|       rel_spread_log1p       |    0.4897   |
|         vol_20_log1p         |   -0.4864   |
|       liquidity_log1p        |    0.3741   |
| max_bid_ask_vol_ratio_log1p  |    0.3503   |
|  total_ask_volume_10_log1p   |   -0.3079   |
|     std_trade_size_log1p     |   -0.3036   |
|   total_trade_volume_log1p   |    0.2616   |
|   total_book_volume_log1p    |    0.258    |
|       sell_count_log1p       |    0.2008   |
|      lob_depth_ratio_5       |    0.1719   |
|      trade_count_change      |    0.1571   |
|      imbalance_depth_5       |   -0.1445   |
|    max_over_average_log1p    |   -0.1327   |
|      lob_depth_ratio_4       |   -0.1246   |
|     min_trade_size_log1p     |   -0.1217   |
|    trade_volume_imbalance    |    0.1125   |
|     trade_volume_change      |   -0.1076   |
|   lob_bids_volume_3_log1p    |    0.0918   |
|      imbalance_depth_4       |    0.0916   |
|   lob_asks_volume_3_log1p    |    0.0895   |
|   lob_asks_volume_6_log1p    |   -0.0861   |
|     max_trade_size_log1p     |    0.0836   |
|   lob_bids_volume_8_log1p    |   -0.0818   |
|   lob_bids_volume_9_log1p    |   -0.0812   |
|         imbalance_5          |   -0.0811   |
|     realized_vol_5_log1p     |    0.077    |
|      imbalance_depth_2       |    0.0737   |
|      lob_depth_ratio_2       |   -0.0687   |
|      lob_depth_ratio_8       |    0.068    |
|   lob_bids_volume_5_log1p    |   -0.0605   |
|     avg_trade_size_log1p     |   -0.0596   |
|      sell_volume_log1p       |   -0.0586   |
|     mid_price_change_20      |    0.0561   |
|   lob_asks_volume_4_log1p    |   -0.0476   |
|      imbalance_depth_8       |   -0.0471   |
|   lob_asks_volume_9_log1p    |    0.046    |
|      lob_depth_ratio_6       |   -0.0451   |
|   lob_asks_volume_8_log1p    |    0.044    |
|   lob_asks_volume_2_log1p    |    0.0427   |
|      imbalance_depth_7       |   -0.0421   |
|      mid_price_change_1      |    0.0394   |
|      imbalance_depth_9       |   -0.0355   |
|   lob_bids_volume_10_log1p   |   -0.0354   |
|   lob_asks_volume_10_log1p   |    0.0347   |
|         log_return_2         |    0.0337   |
|      trade_count_log1p       |   -0.0333   |
|         spread_log1p         |   -0.0301   |
| lag_trade_volume_imbalance_3 |    0.027    |
|   lob_bids_volume_4_log1p    |   -0.0267   |
|       buy_count_log1p        |    0.0267   |
| lag_trade_volume_imbalance_5 |   -0.0235   |
|    trade_count_imbalance     |   -0.0231   |
|      lob_depth_ratio_9       |    0.0189   |
|           return_1           |    0.0164   |
|   lob_asks_volume_5_log1p    |    0.0157   |
|   momentum_20_log_return_1   |    -0.015   |
|        log_return_20         |    -0.015   |
|      imbalance_depth_3       |    0.0103   |
|      lob_depth_ratio_10      |    0.0086   |
|       buy_volume_log1p       |    0.008    |
|      mid_price_change_5      |   -0.0072   |
|         vol_5_log1p          |   -0.0069   |
| lag_trade_volume_imbalance_2 |    0.0037   |
| lag_trade_volume_imbalance_1 |   -0.0031   |
|           return_5           |   -0.0013   |
|      lob_depth_ratio_3       |     0.0     |
|      imbalance_depth_1       |     0.0     |
|      lob_depth_ratio_7       |     0.0     |
|      microprice_change       |     0.0     |
|          microprice          |     0.0     |
|      imbalance_depth_10      |     0.0     |
|      imbalance_depth_6       |     0.0     |
|         imbalance_10         |     0.0     |
|         imbalance_1          |     0.0     |
|         log_return_1         |     0.0     |
|         log_return_3         |     0.0     |
|   lob_bids_volume_6_log1p    |     0.0     |
|   lob_bids_volume_7_log1p    |     0.0     |
|   lob_bids_volume_2_log1p    |     0.0     |
|   momentum_5_log_return_1    |     0.0     |
|         log_return_5         |     0.0     |
|   lob_asks_volume_7_log1p    |     0.0     |
|  total_bid_volume_10_log1p   |     0.0     |
|    mid_minus_micro_log1p     |     0.0     |
+------------------------------+-------------+
