+------------------------------+-------------+
|        Fold_1_feature        | Fold_1_coef |
+------------------------------+-------------+
|      trade_count_log1p       |    1.1997   |
|    realized_vol_20_log1p     |    1.0814   |
|         vol_20_log1p         |   -0.9602   |
|   lob_bids_volume_1_log1p    |   -0.8217   |
|   lob_asks_volume_1_log1p    |   -0.7585   |
| max_bid_ask_vol_ratio_log1p  |    0.5914   |
|       liquidity_log1p        |    0.5655   |
|     std_trade_size_log1p     |   -0.4626   |
|    max_over_average_log1p    |   -0.3792   |
|  total_ask_volume_10_log1p   |    0.3532   |
|      trade_count_change      |    0.3507   |
|     avg_trade_size_log1p     |   -0.3076   |
|       sell_count_log1p       |    -0.307   |
|     max_trade_size_log1p     |    0.2871   |
|       buy_volume_log1p       |    0.2677   |
|       rel_spread_log1p       |    0.2582   |
|   total_trade_volume_log1p   |    0.2196   |
|   total_book_volume_log1p    |   -0.2145   |
|       buy_count_log1p        |   -0.2065   |
|     trade_volume_change      |   -0.1862   |
|      imbalance_depth_2       |    0.1616   |
|         imbalance_10         |   -0.1378   |
|     mid_price_change_20      |   -0.1237   |
|      imbalance_depth_7       |   -0.1221   |
|      lob_depth_ratio_3       |   -0.1217   |
|      mid_price_change_1      |   -0.1042   |
|         log_return_2         |   -0.0942   |
|   lob_asks_volume_9_log1p    |   -0.0937   |
|      lob_depth_ratio_2       |   -0.0929   |
|   lob_asks_volume_7_log1p    |   -0.0914   |
| lag_trade_volume_imbalance_3 |   -0.0858   |
|     realized_vol_5_log1p     |    0.0847   |
|      sell_volume_log1p       |    0.0818   |
|      lob_depth_ratio_7       |    0.0791   |
|      imbalance_depth_5       |   -0.0762   |
|         spread_log1p         |    0.0656   |
|      imbalance_depth_6       |   -0.0632   |
|   lob_asks_volume_3_log1p    |   -0.0577   |
|   lob_bids_volume_4_log1p    |   -0.0568   |
|      lob_depth_ratio_10      |   -0.0548   |
|      lob_depth_ratio_9       |   -0.0527   |
|   lob_asks_volume_6_log1p    |   -0.0479   |
|   lob_asks_volume_5_log1p    |    0.042    |
|      imbalance_depth_10      |     0.04    |
|      lob_depth_ratio_8       |    0.0345   |
|    trade_count_imbalance     |    -0.034   |
| lag_trade_volume_imbalance_1 |    0.0328   |
|         log_return_5         |    0.0325   |
|   momentum_5_log_return_1    |    0.0325   |
|      imbalance_depth_8       |   -0.0322   |
|   lob_bids_volume_3_log1p    |    0.0319   |
|   lob_asks_volume_4_log1p    |    0.0316   |
|           return_5           |    0.0307   |
|      imbalance_depth_9       |   -0.0306   |
|   lob_bids_volume_9_log1p    |    0.0298   |
|        log_return_20         |   -0.0298   |
|   momentum_20_log_return_1   |   -0.0298   |
|      microprice_change       |    0.0267   |
|   lob_asks_volume_8_log1p    |    0.0263   |
|     min_trade_size_log1p     |   -0.0262   |
|      mid_price_change_5      |    0.0256   |
|   lob_asks_volume_10_log1p   |   -0.0249   |
|      imbalance_depth_3       |    0.0147   |
|   lob_bids_volume_8_log1p    |    0.0144   |
|   lob_bids_volume_5_log1p    |   -0.0138   |
|   lob_bids_volume_6_log1p    |    0.0109   |
|      lob_depth_ratio_6       |    0.0094   |
|   lob_asks_volume_2_log1p    |   -0.0092   |
|      lob_depth_ratio_4       |   -0.0069   |
|   lob_bids_volume_10_log1p   |   -0.0065   |
|      lob_depth_ratio_5       |    0.0042   |
|   lob_bids_volume_2_log1p    |    0.0032   |
|         log_return_3         |    0.0026   |
| lag_trade_volume_imbalance_5 |    0.0022   |
|   lob_bids_volume_7_log1p    |    0.0005   |
| lag_trade_volume_imbalance_2 |   -0.0001   |
|         imbalance_5          |     0.0     |
|         imbalance_1          |     0.0     |
|      imbalance_depth_1       |     0.0     |
|      imbalance_depth_4       |     0.0     |
|          microprice          |     0.0     |
|    microprice_weighted_10    |     0.0     |
|         log_return_1         |     0.0     |
|    trade_volume_imbalance    |     0.0     |
|           return_1           |     0.0     |
|  total_bid_volume_10_log1p   |     0.0     |
|         vol_5_log1p          |     0.0     |
|    mid_minus_micro_log1p     |     0.0     |
+------------------------------+-------------+
